courseID,shortTitle,deptCode,deptName,minCredit,academicLevel,instructMethod,EC: Clear Concise Writing,EC: Credibility/Persuasiveness,EC Public Presentation,EC: Thought Organization,TM: Punctuality,TM: Effective Task Completion,TM: Deadline Setting,L: Effective Communication,L:  Critical Thinking,L: Decision Making,L: Empathy,L: Strategic Thinking,TC: Effective Communication,TC: Delegation/Support,TC: Commitment,TC: Respect/Accountability,CPS: Clarification,CPS: Ideation,CPS: Solution Development,CPS: Implementation,R: Quantitative Analysis,R: Data Visualization,R: Resource Use,R: Effective Communication,AF: Effective Listening,AF: Emotional Intelligence,AF: Big Picture,AF: See Multiple Perspectives
ALHT-111,IntRo Hlth PRofessions,ALHL,Allied Health,1,UG,LEC,,,,,,,,,,,,,,,,,,,,I,,,,,I,,,I
ALHT-225,IntRo Medical Lab Sci,ALHL,Allied Health,2,UG,LEC,,,,I,I,I,I,,I,,,,I,,,I,I,,,,,,,,I,,,I
ALHT-265,Topics in Allied Health,ALHL,Allied Health,2,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHT-284,IntRo Speech-Lang Path,ALHL,Allied Health,2,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHT-LD,Allied Health - LoweR Division,ALHL,Allied Health,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-101,Anat & Phys I,BIOL,Biology,4,UG,LEC,,I,,I,I,I,I,I,I,,,,I,I,,I,I,,,I,,,,,,,,
BIOL-101L,Anat & Phys I Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-102,Anat & Phys I,BIOL,Biology,4,UG,LEC,,,,,I,I,I,,,,,,I,,,I,I,,,,,,,,I,I,,
BIOL-102L,Anat & Phys I Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-103,PRin of Biology,BIOL,Biology,3,UG,LEC,,,I,I,I,I,I,,,,,,,,,,,,I,,I,I,,,,,,
BIOL-151,Gen Biology I,BIOL,Biology,4,UG,LEC,I,,,I,I,I,I,,,,,,,,,,,,,,I,I,,I,,,,
BIOL-151L,Gen Biology I Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-152,Gen Biology I,BIOL,Biology,4,UG,LEC,I,,I,I,I,I,I,,,,,,,I,I,I,I,,I,,I,I,I,I,I,,I,I
BIOL-152L,Gen Biology I Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
BIOL-225,Basic MicRobiology,BIOL,Biology,4,UG,LEC,,,,I,I,I,,,,,,,,I,,I,I,,,I,,,,,I,,,
BIOL-225L,Basic MicRobiology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,I,,,,,,,,,,,,,,,
BIOL-252,TRopical Biology,BIOL,Biology,3,UG,LEC,,,,I,I,I,,R,I,R,,R,R,R,R,M,R,,,R,,,,,R,R,R,R
BIOL-255,IntRo to DentistRy,BIOL,Biology,1,UG,LEC,,,,,I,I,,,I,,,,I,,I,,,,,I,,,,,,,,
BIOL-265,Topics in Biology,BIOL,Biology,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-282,Biological Analysis,BIOL,Biology,3,UG,LEC,I,,I,I,I,I,I,,I,,,,,,,,,I,I,,R,R,I,I,,,,
BIOL-297,ReseaRch In Biology,BIOL,Biology,1,UG,RSCH,R,,I,R,R,R,R,,R,R,,R,,R,R,,,,R,R,R,R,R,R,,,R,
BIOL-305,PRoposal WRiting,BIOL,Biology,1,UG,LEC,R,R,,R,R,R,R,R,R,R,,R,R,,,,,,,,,,R,R,,,R,
BIOL-311,Genetics,BIOL,Biology,4,UG,LEC,,,,R,R,R,,R,R,R,,,R,R,,R,,I,,R,I,,I,,,,,
BIOL-311L,Genetics Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-313,Developmental Biology,BIOL,Biology,3,UG,LEC,R,R,R,R,R,R,,R,R,R,,,R,,,,,,I,R,,,,,R,,,
BIOL-313L,Dev Biology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-314,ORnithology,BIOL,Biology,3,UG,LEC,,,,,R,R,R,,,,,R,R,,,,R,,,R,,,R,,R,,R,R
BIOL-314L,ORnithology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-315,Human PaRasitology,BIOL,Biology,3,UG,LEC,R,I,,R,R,R,,,,,,,,,,,,,,,,,,,,,,
BIOL-315L,Human PaRasitology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-317,Ecology,BIOL,Biology,3,UG,LEC,R,R,,R,R,R,R,,,,,,R,R,R,R,R,R,R,,R,R,,R,R,R,R,
BIOL-317L,Ecology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-320,Entomology,BIOL,Biology,3,UG,LEC,,,,R,R,R,R,I,,I,,,,R,R,,,,R,,R,R,R,,,,R,R
BIOL-321,Field Ecology,BIOL,Biology,3,UG,LEC,R,R,,R,R,R,R,,,,,,R,R,R,R,R,R,R,,R,R,,R,R,R,R,
BIOL-329,Gen MicRobiology,BIOL,Biology,3,UG,LEC,R,,,R,R,R,R,I,I,R,R,R,R,R,R,R,,,,,,,,,,,R,R
BIOL-329L,Gen MicRobiology Lab,BIOL,Biology,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-333,Medical Toxinology,BIOL,Biology,3,UG,LEC,R,,,R,R,R,R,,,,I,,R,R,R,R,,,,,R,R,R,R,,,,R
BIOL-340,Immunology,BIOL,Biology,3,UG,LEC,R,,,R,R,R,R,R,M,R,,,R,R,,M,R,R,,R,R,R,,R,,,,
BIOL-365,Topics in Biology,BIOL,Biology,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-365L,Topics,BIOL,Biology,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-366,RosaRio Beach Topics Biology,BIOL,Biology,3.3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-375,Plants in Medicine,BIOL,Biology,3,UG,LEC,,,R,,R,R,R,,,,,,R,,,R,,,,,,,R,,,,R,
BIOL-375L,Plants in Medicine Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-387,Animal BehavioR,BIOL,Biology,3,UG,LEC,,R,R,R,,R,R,,M,,,,R,R,R,,,,,,,,,R,R,R,R,
BIOL-412,Cell & MoleculaR Biol,BIOL,Biology,4,UG,LEC,R,,,R,R,R,R,R,M,R,,,R,R,,M,R,R,,,,,,R,,,,
BIOL-412L,Cell & Molec Biol Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,R,R,M,M,M,M,M,,,,,,,,M,R,R,R
BIOL-415,CompaRative Anatomy,BIOL,Biology,3,UG,LEC,,,,,I,I,I,,R,,,,R,R,R,R,R,,,,R,R,,,,,,
BIOL-416,Human Anatomy,BIOL,Biology,3,UG,LEC,,,,,R,M,,,,,R,R,,R,R,R,R,,,R,M,M,R,R,,,R,
BIOL-416L,Human Anatomy Lab,BIOL,Biology,0,UG,LAB,,,,,,M,,R,R,,,,,,,,,,,,,,,,,,,
BIOL-417,Animal Histology,BIOL,Biology,3,UG,LEC,I,,M,I,R,R,R,,,,,,R,,,,,M,R,,,,,,R,,,
BIOL-417L,Animal Histology Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-418,Animal Physiology,BIOL,Biology,3,UG,LEC,R,R,,R,R,R,R,R,M,,,R,M,M,M,M,M,,R,R,,R,R,R,,,,R
BIOL-418L,Animal Phys Lab,BIOL,Biology,0,UG,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-421,Issues in Sci & Society,BIOL,Biology,3,UG,LEC,M,M,,M,R,R,R,,M,,,,,,,,,,R,R,,,M,M,R,,R,M
BIOL-424,Issues Nat Sci & Rlgn,BIOL,Biology,3,UG,LEC,M,M,M,M,,R,,,,,M,M,,,,,M,,,R,,,,,M,M,M,M
BIOL-458,Ecotoxicology,BIOL,Biology,3,UG,LEC,R,R,M,M,M,M,M,,R,R,,R,M,M,M,M,M,M,M,M,M,M,M,M,,,M,M
BIOL-458L,Ecotoxicology Lab,BIOL,Biology,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOL-476,ReseaRch in Biology,BIOL,Biology,1,UG,RSCH,M,M,M,M,R,M,R,,R,R,,M,,,,,,R,R,R,M,M,M,M,M,R,M,R
BIOL-496,SenioR Thesis,BIOL,Biology,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDTC-000,Med Tech,BIOL,Biology,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDTC-050,Med Tech,BIOL,Biology,0,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-221,PRin Accounting I,BUS,Business/management,3,UG,LEC,R,,,,R,M,R,R,R,R,,I,I,,,,R,R,R,R,I,,,,I,,I,I
ACCT-222,PRin Accounting I,BUS,Business/management,3,UG,LEC,R,,,,M,M,M,R,R,R,,R,R,R,R,R,R,R,R,R,I,I,,I,I,,I,I
ACCT-261,Tax PRactice (VITA),BUS,Business/management,3,UG,LEC,,R,R,,M,M,M,,M,M,M,,,,,,M,M,M,M,M,R,R,,M,M,R,M
ACCT-265,Topics in Accounting,BUS,Business/management,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-311,InteRmediate Acct I,BUS,Business/management,4,UG,LEC,R,R,R,R,M,M,M,R,R,R,,R,,,,,R,R,R,R,R,R,R,R,R,,R,R
ACCT-311L,InteRm Acct I Lab,BUS,Business/management,0,UG,LAB,R,R,R,R,M,M,M,R,R,R,,R,,,,,R,R,R,R,R,R,R,R,R,,R,R
ACCT-312,InteRm Accounting I,BUS,Business/management,4,UG,LEC,R,R,R,R,M,M,M,R,R,R,,R,,,,,R,R,R,R,R,R,R,R,R,,R,R
ACCT-312L,InteRm Acct I Lab,BUS,Business/management,0,UG,LAB,R,R,R,R,M,M,M,R,R,R,,R,,,,,R,R,R,R,R,R,R,R,R,,R,R
ACCT-316,Gov Not-foR-PRofit Acct,BUS,Business/management,3,UG,LEC,,,,,M,M,R,R,R,R,,R,,,,,R,R,R,R,R,,,,R,,R,R
ACCT-321,ManageRial Accounting,BUS,Business/management,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-322,Cost Accounting,BUS,Business/management,3,UG,LEC,R,R,,R,M,M,R,R,R,R,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
ACCT-432,Acct Ethics & FRaud Exam,BUS,Business/management,3,UG,LEC,R,M,R,R,M,M,R,M,M,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,R,I,R,R
ACCT-443,Accounting Systems,BUS,Business/management,3,UG,LEC,R,,,,M,M,M,,R,R,,R,,,,,M,M,M,R,R,R,R,R,R,,R,R
ACCT-450,Adv Accounting,BUS,Business/management,3,UG,LEC,,,,,M,M,M,,R,R,,R,,,,,M,M,M,R,R,R,M,R,R,,R,R
ACCT-452,Auditing,BUS,Business/management,3,UG,LEC,R,M,,R,M,M,R,M,M,R,R,R,R,R,R,R,M,M,M,R,R,R,R,R,R,,R,R
ACCT-456,FedeRal Taxation,BUS,Business/management,3,UG,LEC,,R,,,R,R,R,,M,M,,,,,,,M,M,M,M,M,,R,,R,,R,R
ACCT-457,Adv FedeRal Taxation,BUS,Business/management,3,UG,LEC,,,,,I,M,M,,M,R,,M,,,,,M,R,M,M,R,R,R,R,,,R,R
ACCT-461,Tax PRactice (VITA),BUS,Business/management,3,UG,LEC,,R,R,,M,M,M,,M,M,M,,,,,,M,M,M,M,M,R,R,,M,M,R,M
ACCT-465,Topics in Accounting,BUS,Business/management,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-491,Accounting PRacticum,BUS,Business/management,0,UG,PRAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-492,Accounting InteRnship,BUS,Business/management,0,UG,INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-494,Accounting Capstone,BUS,Business/management,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCT-497,Accounting ReseaRch,BUS,Business/management,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMKT-265,Topics in MaRketing,BUS,Business/management,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMKT-292,Sales InteRnship,BUS,Business/management,3,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMKT-326,PRin of MaRketing,BUS,Business/management,3,UG,LEC,,R,M,I,R,R,R,I,R,I,I,I,R,,R,R,I,I,I,I,,,I,I,I,,R,I
BMKT-327,ConsumeR BehavioR,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,,I,I,R,,R,R,R,I,R,I,,,,,I,I,R,R
BMKT-328,Sales Management,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,,R,,R,R,R,R,R,R,,,R,R,R,R,R,R
BMKT-345,Digital MaRketing,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
BMKT-375,InteRnational Mktg,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
BMKT-410,SeRvice MaRketing,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,R,R,R,R,R,R
BMKT-423,PRin IntegR MRkt Comm,BUS,Business/management,3,UG,LEC,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R,R,R
BMKT-424,MaRketing StRategy,BUS,Business/management,3,UG,LEC,M,R,R,M,M,R,M,R,M,R,I,M,R,I,M,M,R,R,M,R,,I,I,R,R,R,M,R
BMKT-465,Topics in MaRketing,BUS,Business/management,1,UG,LEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMKT-491,MaRketing PRacticum,BUS,Business/management,0,UG,PRAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
